City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Khatanga,RU,2022-01-27 05:02:56,71.9667,102.5,1.81,85,100,13.87
67,Asfi,MA,2022-01-27 05:02:56,32.2994,-9.2372,57.4,67,31,10.54
68,Qaanaaq,GL,2022-01-27 05:02:10,77.484,-69.3632,-7.76,59,75,9.86
69,Thinadhoo,MV,2022-01-27 05:02:57,0.5333,72.9333,81.54,71,94,18.7
70,Veraval,IN,2022-01-27 04:59:21,20.9,70.3667,69.96,33,1,13.02
71,Otuzco,PE,2022-01-27 05:02:57,-7.9,-78.5833,49.33,82,89,0.6
72,Sao Joao Da Barra,BR,2022-01-27 05:01:03,-21.6403,-41.0511,74.34,87,4,15.82
73,Palmer,US,2022-01-27 05:02:58,42.1584,-72.3287,13.28,71,0,0.0
74,Yar-Sale,RU,2022-01-27 05:02:59,66.8333,70.8333,8.33,93,100,10.02
75,Port Elizabeth,ZA,2022-01-27 05:02:59,-33.918,25.5701,67.1,100,100,8.05
76,Atuona,PF,2022-01-27 05:03:00,-9.8,-139.0333,78.73,78,11,19.22
77,Bosaso,SO,2022-01-27 05:03:00,11.2842,49.1816,73.02,64,9,3.15
78,Mahajanga,MG,2022-01-27 05:03:00,-15.7167,46.3167,78.82,78,40,4.61
79,Sharkan,RU,2022-01-27 05:03:01,57.2989,53.8712,8.17,95,100,8.84
80,Phangnga,TH,2022-01-27 05:03:01,8.4509,98.5298,87.84,42,9,4.05
81,Airai,TL,2022-01-27 04:59:20,-8.9266,125.4092,73.53,62,88,6.15
82,Makinsk,KZ,2022-01-27 05:03:02,52.6292,70.4169,1.29,92,99,6.71
83,Namatanai,PG,2022-01-27 05:02:25,-3.6667,152.4333,84.38,72,72,5.75
84,Sokol,RU,2022-01-27 05:03:03,59.4617,40.1206,3.7,98,100,4.14
85,Tiksi,RU,2022-01-27 04:58:10,71.6872,128.8694,-1.53,89,55,13.69
86,Comodoro Rivadavia,AR,2022-01-27 05:03:03,-45.8667,-67.5,64.26,45,0,8.05
87,Cockburn Town,TC,2022-01-27 05:03:04,21.4612,-71.1419,77.36,76,1,12.88
88,Cidreira,BR,2022-01-27 04:58:26,-30.1811,-50.2056,74.66,95,100,6.29
89,Vaini,TO,2022-01-27 05:03:05,-21.2,-175.2,81.43,77,100,10.47
90,Hervey Bay,AU,2022-01-27 05:03:05,-25.2986,152.8535,83.03,59,69,18.19
91,Bonthe,SL,2022-01-27 05:04:05,7.5264,-12.505,76.41,82,34,2.1
92,Huadian,CN,2022-01-27 05:04:06,42.9633,126.7478,12.85,80,62,4.41
93,Shangrao,CN,2022-01-27 05:04:06,28.4532,117.9686,47.66,94,100,2.95
94,Barcelos,PT,2022-01-27 05:04:07,41.5388,-8.6151,48.85,66,3,5.75
95,Bilaspur,IN,2022-01-27 05:04:07,22.0833,82.15,65.71,34,0,3.24
96,Port Lincoln,AU,2022-01-27 05:04:07,-34.7333,135.8667,77.07,62,4,9.78
97,Aguimes,ES,2022-01-27 05:04:08,27.9054,-15.4461,57.83,82,75,11.5
98,Port Alfred,ZA,2022-01-27 05:04:08,-33.5906,26.891,72.95,90,76,5.01
99,Pozo Colorado,PY,2022-01-27 05:04:09,-23.4923,-58.7972,76.05,80,60,6.35
100,Ponta Do Sol,PT,2022-01-27 05:04:09,32.6667,-17.1,58.01,78,57,6.76
101,Kodiak,US,2022-01-27 05:04:10,57.79,-152.4072,35.11,87,100,14.97
102,Dikson,RU,2022-01-27 05:04:10,73.5069,80.5464,11.37,93,100,28.72
103,Bilibino,RU,2022-01-27 05:04:10,68.0546,166.4372,-25.49,94,63,2.35
104,Leshukonskoye,RU,2022-01-27 05:04:11,64.8989,45.7622,-2.34,100,98,4.81
105,Nuuk,GL,2022-01-27 05:04:11,64.1835,-51.7216,20.01,38,75,10.36
106,Leningradskiy,RU,2022-01-27 05:04:12,69.3833,178.4167,-24.93,90,7,3.67
107,Pishin,PK,2022-01-27 05:04:13,30.5803,66.9961,39.58,33,0,1.14
108,Rapid Valley,US,2022-01-27 05:00:59,44.0625,-103.1463,36.45,64,0,1.01
109,Aklavik,CA,2022-01-27 05:04:13,68.2191,-135.0107,-13.09,96,98,3.22
110,Ribeira Grande,PT,2022-01-27 05:04:14,38.5167,-28.7,59.85,81,35,12.8
111,Aswan,EG,2022-01-27 05:04:14,24.0934,32.907,42.93,64,2,11.99
112,Parati,BR,2022-01-27 05:04:16,-23.2178,-44.7131,76.48,77,39,6.31
113,Bambous Virieux,MU,2022-01-27 05:04:16,-20.3428,57.7575,82.22,65,75,5.75
114,Vostok,RU,2022-01-27 05:02:22,46.4856,135.8833,8.56,85,100,5.7
115,Ambanja,MG,2022-01-27 05:04:17,-13.6833,48.45,77.22,82,83,1.72
116,Taoudenni,ML,2022-01-27 05:04:17,22.6783,-3.9836,61.99,20,6,11.54
117,Vila Franca Do Campo,PT,2022-01-27 05:04:17,37.7167,-25.4333,58.19,81,29,8.39
118,Bathsheba,BB,2022-01-27 05:04:18,13.2167,-59.5167,74.01,83,20,11.5
