City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Chuy,UY,76.75,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
213,Canutama,BR,80.89,moderate rain,-6.5339,-64.3831,Hotel Jhennifer
217,Vao,NC,78.31,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
219,Puerto Narino,CO,89.55,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
220,Port Moresby,PG,76.42,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
224,Ahuimanu,US,76.35,few clouds,21.4447,-157.8378,Paradise Bay Resort
225,Lucea,JM,82.26,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
228,Esmeraldas,BR,83.44,light rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
229,Tacna,PE,75.4,clear sky,-18.0056,-70.2483,Hotel Colón Inn
230,Abu Dhabi,AE,68.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
233,Concordia,AR,84.27,few clouds,-31.393,-58.0209,Palmar Hotel Casino
237,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
246,Kununurra,AU,78.78,light rain,-15.7667,128.7333,Hotel Kununurra
247,Constitucion,CL,66.15,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
251,Banda Aceh,ID,79.52,broken clouds,5.5577,95.3222,Sulthan Hotel International
252,Sao Joao Da Barra,BR,87.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
256,Buchanan,LR,84.16,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
257,Coracao De Jesus,BR,77.99,broken clouds,-16.6853,-44.365,Hotel Neves
260,Pitimbu,BR,84.79,light rain,-7.4706,-34.8086,Reserva do Abiaí
262,Porto Velho,BR,80.65,broken clouds,-8.7619,-63.9039,Hotel Central
264,Atar,MR,78.13,overcast clouds,20.5169,-13.0499,Oumou Elghoura
271,Trairi,BR,83.16,scattered clouds,-3.2778,-39.2689,janelas do mar
281,Banyo,CM,70.02,overcast clouds,6.75,11.8167,Motel JOMBA
282,Taltal,CL,68.92,few clouds,-25.4,-70.4833,Residencial Karime
286,La Palma,US,67.37,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
287,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
288,Yantzaza,EC,85.15,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
289,Sur,OM,71.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
298,Honiara,SB,77.11,moderate rain,-9.4333,159.95,Heritage Park Hotel
301,Hualmay,PE,75.38,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
302,Nouakchott,MR,73.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
309,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
313,Maumere,ID,79.66,light rain,-8.6199,122.2111,Sylvia Hotel
316,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
317,Sao Filipe,CV,71.06,overcast clouds,14.8961,-24.4956,Hotel Xaguate
322,Ternate,ID,79.25,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
324,Pakxan,LA,72.59,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
328,Galle,LK,78.4,overcast clouds,6.0367,80.217,Amangalla
330,Tabuk,PH,71.94,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
332,Sorong,ID,80.37,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
334,San Cristobal,VE,80.78,clear sky,7.7669,-72.225,Posada Villaven C.A.
341,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
343,Maues,BR,78.42,overcast clouds,-3.3836,-57.7186,Hotel Miramar
351,Maragogi,BR,78.19,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
354,Masvingo,ZW,67.95,overcast clouds,-20.0637,30.8277,River Side Lodge
356,Kimbe,PG,75.74,light rain,-5.5502,150.1429,Kimbe Bay Hotel
357,Rawson,AR,82.87,few clouds,-43.3002,-65.1023,Hosteria Sampedro
363,Piracanjuba,BR,75.65,overcast clouds,-17.3028,-49.0167,Casas Luci
364,Bandarbeyla,SO,76.15,broken clouds,9.4942,50.8122,JABIR HOTEL
371,Joao Pinheiro,BR,79.7,overcast clouds,-17.7425,-46.1725,Hotel Santos
374,Guerrero Negro,MX,69.78,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
375,Marakkanam,IN,76.95,overcast clouds,12.2,79.95,Samvasa by the Sea
377,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
381,Santiago,CL,84.29,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
383,Sarangani,PH,80.91,overcast clouds,5.4033,125.4636,Ballistic Islet
385,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
386,Mazamari,PE,87.03,moderate rain,-11.3258,-74.5308,Hospedaje Ratto
390,Makakilo City,US,75.18,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
394,Sechura,PE,82.74,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
400,Ballina,AU,69.98,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
402,Acarau,BR,83.41,overcast clouds,-2.8856,-40.12,castelo pizzaria
408,Qui Nhon,VN,71.49,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
412,Riachao Das Neves,BR,75.9,light rain,-11.7461,-44.91,Casa Costa
416,Kudahuvadhoo,MV,81.48,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
417,Necochea,AR,88.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
419,Tumpat,MY,75.18,few clouds,6.1978,102.171,Baan Tanyong B&B
421,Pointe Michel,DM,83.34,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
425,Rio Grande,BR,80.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
426,Karratha,AU,81.59,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
428,Caborca,MX,66.13,clear sky,30.5838,-111.101,Hotel Los Lagos
429,Piacabucu,BR,78.66,light rain,-10.4056,-36.4344,Piaçabuçu News
431,Ewa Beach,US,76.59,clear sky,21.3156,-158.0072,Uncle Junior Robert
433,Ariquemes,BR,75.88,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
434,Namatanai,PG,79.12,light rain,-3.6667,152.4333,Seagulls Inn Namatani
435,Auki,SB,77.45,light rain,-8.7676,160.7034,Auki Motel
436,Chicama,PE,70.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
437,Gidole,ET,66.0,few clouds,5.65,37.3667,Shallom mekaneyesus church
440,Panzos,GT,86.92,broken clouds,15.4,-89.6667,Hotel Noemi
441,Teocaltiche,MX,66.27,clear sky,21.4333,-102.5833,Hotel los Caxcanes
442,Bani,DO,89.04,clear sky,18.2833,-70.3333,Hospedaje Henriquez
446,Tautira,PF,78.82,overcast clouds,-17.7333,-149.15,Pension Oaoa
450,Mocuba,MZ,72.99,clear sky,-16.8392,36.9856,Phama Lodge
452,Pontianak,ID,76.98,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
454,Poum,NC,80.73,scattered clouds,-20.2333,164.0167,Gîte kajeon
456,Ouesso,CG,79.05,overcast clouds,1.6136,16.0517,ABENIE Hotel
463,Diamantino,BR,77.59,moderate rain,-14.4086,-56.4461,Hotel Delta
471,Durazno,UY,81.34,clear sky,-33.4131,-56.5006,Hotel Santa Cristina
478,Garowe,SO,70.14,overcast clouds,8.4054,48.4845,Curubo Hotel
481,Alice Springs,AU,72.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
482,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
483,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
488,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
489,Perundurai,IN,78.35,overcast clouds,11.2667,77.5833,Hotel Royal Park
494,Sinnamary,GF,80.89,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
496,Vilhena,BR,79.02,broken clouds,-12.7406,-60.1458,Hotel Mirage
498,Meulaboh,ID,77.97,overcast clouds,4.1363,96.1285,Kost Pria
499,Mindelo,CV,71.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
501,Buala,SB,80.04,light rain,-8.145,159.5921,Maringe Lagoon Lodge
503,Vinh,VN,65.5,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
515,Paracatu,BR,82.96,broken clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
516,Bull Savanna,JM,82.27,clear sky,17.8868,-77.5902,Big Red's
518,Lumut,MY,78.82,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
519,Rafaela,AR,88.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
522,Santa Isabel,BR,76.71,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
525,Alta Floresta,BR,84.02,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
526,Antsohihy,MG,75.7,broken clouds,-14.8796,47.9875,Hotel de Ville
528,Riachao,BR,77.36,scattered clouds,-7.3619,-46.6172,Pousada Nordestina
530,Kanniyakumari,IN,78.71,scattered clouds,8.0833,77.5667,Sparsa
534,Padang,ID,77.38,overcast clouds,-0.9492,100.3543,Mercure Padang
537,Mangaratiba,BR,79.93,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
539,Alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
542,Borba,BR,76.77,moderate rain,-4.3878,-59.5939,Hotel da Amazônia
543,Bartica,GY,86.32,clear sky,6.4,-58.6167,Sloth Island Nature Resort
548,Tandalti,SD,66.72,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
550,Kerema,PG,77.04,overcast clouds,-7.9631,145.7785,Frena Lodge
551,Kui Buri,TH,73.44,broken clouds,12.0828,99.8543,Rista House & Resort
556,Nelson Bay,AU,72.95,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
558,Larap,PH,74.82,clear sky,14.299,122.6504,Montemayor Cove
559,Bambanglipuro,ID,78.04,overcast clouds,-7.95,110.2833,Puri Brata
560,Jambi,ID,74.01,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
561,Ancud,CL,73.42,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
563,Uruacu,BR,77.47,overcast clouds,-14.5247,-49.1408,Cassius Hotel
568,Kiunga,PG,72.72,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
569,Imbituba,BR,76.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
575,Lima,PE,77.4,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
576,Sabang,ID,82.29,few clouds,5.8933,95.3214,Hotel Citra
578,Ko Samui,TH,81.27,clear sky,9.5357,99.9357,The Passage
580,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
581,Vila Velha,BR,87.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
583,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
584,Garissa,KE,86.41,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
585,Panaba,MX,72.5,overcast clouds,21.2833,-88.2667,Hotel California
589,Mandapam,IN,79.81,scattered clouds,9.2833,79.1167,Tanvi Chachaa Chalet
594,Coromandel,BR,75.79,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
595,Vryburg,ZA,75.38,overcast clouds,-26.9566,24.7284,The Times Premier Lodge
598,Lencois Paulista,BR,77.49,overcast clouds,-22.5986,-48.8003,Saint James Palace Hotel
602,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
606,Ejura,GH,87.4,overcast clouds,7.3856,-1.3562,Fire Servece
608,Moerai,PF,79.09,clear sky,-22.4333,-151.3333,Le Manotel
609,Tshela,CD,74.1,overcast clouds,-4.9833,12.9333,Hotel Mirador
613,Eyl,SO,75.31,overcast clouds,7.9803,49.8164,Amiin Hotel
615,Coahuayana,MX,83.68,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
617,Paracale,PH,75.06,clear sky,14.2804,122.7881,Waling Waling center Paracale
620,Sambava,MG,78.37,few clouds,-14.2667,50.1667,Melrose
621,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
622,Mackay,AU,75.18,broken clouds,-21.15,149.2,International Lodge Motel
626,Thongwa,MM,68.16,overcast clouds,16.7619,96.5278,Mhaw Wun Marlar Park
627,Port Macquarie,AU,67.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
628,Casino,AU,69.75,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
630,Axim,GH,81.27,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
632,Totness,SR,81.23,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
634,Payo,ID,73.09,overcast clouds,-3.7508,103.6372,Mess keban agung
635,Panalingaan,PH,77.76,scattered clouds,8.7842,117.4231,I Love Panalingaan View Deck
636,Morrope,PE,82.51,clear sky,-6.5417,-80.0111,CASA WAYRA HOTEL
638,Paka,MY,71.53,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
639,Dabhol,IN,68.92,clear sky,17.6,73.1667,Ashwamedh Resort
642,Kantang,TH,75.63,few clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
647,Paranaiba,BR,73.11,overcast clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
648,Doctor Juan Leon Mallorquin,PY,82.13,broken clouds,-25.4,-55.2667,Hotel Puma S.A.
650,Salinopolis,BR,75.76,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
655,Loma Alta,HN,68.76,overcast clouds,15.3967,-88.5597,Cascada Loma Alta
656,Kandrian,PG,78.24,moderate rain,-6.2167,149.55,Kandrian Station
657,Marawi,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
658,Dubti,ET,82.65,clear sky,11.7361,41.0853,degu Shiferaw
660,Young,UY,84.22,clear sky,-32.6833,-57.6333,Posada Gira el Sol
661,Moanda,GA,79.03,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
665,Maxixe,MZ,76.82,few clouds,-23.8597,35.3472,Oceano
667,Tecoanapa,MX,84.78,scattered clouds,16.5167,-98.75,Hotel Manglares
669,Kapit,MY,72.73,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
670,Palu,ID,75.69,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
671,Wiang Sa,TH,73.89,few clouds,8.6359,99.3666,ชำนาญอินน์
672,Lasem,ID,77.14,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
679,Flinders,AU,74.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
682,Gundlupet,IN,67.77,broken clouds,11.8,76.6833,"1 BR Boutique stay in Melukamanahally, Chamrajnagar (4F3F), by GuestHouser"
688,Dwarka,IN,68.7,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
