City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Husavik,IS,2022-01-29 18:35:44,66.0449,-17.3389,30.11,76,11,21.23,few clouds
60,Upernavik,GL,2022-01-29 18:35:44,72.7868,-56.1549,1.42,93,100,3.65,overcast clouds
61,Saldanha,ZA,2022-01-29 18:35:45,-33.0117,17.9442,73.45,83,0,20.65,clear sky
62,Yellowknife,CA,2022-01-29 18:31:08,62.456,-114.3525,-6.59,90,100,4.61,light snow
63,Saint Anthony,US,2022-01-29 18:31:04,45.0205,-93.218,26.44,60,0,5.99,clear sky
64,San Patricio,US,2022-01-29 18:35:45,28.017,-97.5169,64.08,28,8,3.71,clear sky
65,Arraial Do Cabo,BR,2022-01-29 18:35:46,-22.9661,-42.0278,87.76,74,0,11.5,thunderstorm
66,Huarmey,PE,2022-01-29 18:35:46,-10.0681,-78.1522,76.01,71,22,12.19,few clouds
67,Cape Town,ZA,2022-01-29 18:34:31,-33.9258,18.4232,69.12,73,20,7.0,few clouds
68,Anuradhapura,LK,2022-01-29 18:35:47,8.3565,80.4173,71.98,98,15,4.18,few clouds
69,Chokurdakh,RU,2022-01-29 18:35:44,70.6333,147.9167,-13.4,87,100,1.05,overcast clouds
70,Namibe,AO,2022-01-29 18:35:48,-15.1961,12.1522,72.5,77,100,9.13,overcast clouds
71,Farmington,US,2022-01-29 18:35:48,36.7281,-108.2187,44.85,44,0,5.75,clear sky
72,Adre,TD,2022-01-29 18:35:48,13.4667,22.2,65.93,14,2,11.63,clear sky
73,Kavieng,PG,2022-01-29 18:35:49,-2.5744,150.7967,81.16,78,100,8.46,moderate rain
74,Komsomolskiy,UZ,2022-01-29 18:35:49,40.4272,71.7189,36.32,87,75,0.0,fog
75,Port Alfred,ZA,2022-01-29 18:35:50,-33.5906,26.891,70.41,77,41,13.38,scattered clouds
76,Hithadhoo,MV,2022-01-29 18:35:50,-0.6,73.0833,81.28,65,100,1.77,overcast clouds
77,Nikolskoye,RU,2022-01-29 18:35:50,59.7035,30.7861,25.72,87,100,13.29,light snow
78,Inhambane,MZ,2022-01-29 18:35:51,-23.865,35.3833,76.98,83,20,4.61,few clouds
79,Paysandu,UY,2022-01-29 18:35:51,-32.3214,-58.0756,84.42,37,0,7.23,clear sky
80,Basco,PH,2022-01-29 18:35:52,20.4487,121.9702,74.35,89,100,23.78,overcast clouds
81,Birin,NP,2022-01-29 18:35:52,26.8865,88.0718,41.38,76,24,2.06,few clouds
82,Rio Gallegos,AR,2022-01-29 18:35:53,-51.6226,-69.2181,60.85,51,75,21.85,light rain
83,Kayes,ML,2022-01-29 18:35:53,14.0,-11.0,90.93,11,10,6.91,clear sky
84,Bambous Virieux,MU,2022-01-29 18:34:33,-20.3428,57.7575,80.85,83,40,8.05,scattered clouds
85,Caravelas,BR,2022-01-29 18:35:54,-17.7125,-39.2481,84.25,66,0,11.36,clear sky
86,Wewak,PG,2022-01-29 18:35:59,-3.5534,143.6268,77.4,88,99,7.31,light rain
87,Pak Phanang,TH,2022-01-29 18:35:59,8.3511,100.202,77.31,79,8,3.15,clear sky
88,Jalu,LY,2022-01-29 18:36:00,29.0331,21.5482,54.63,42,0,9.91,clear sky
89,Ilulissat,GL,2022-01-29 18:36:00,69.2167,-51.1,14.02,52,75,21.85,broken clouds
90,Skegness,GB,2022-01-29 18:34:42,53.1436,0.3363,48.27,68,11,20.18,few clouds
91,Lasa,IT,2022-01-29 18:36:01,46.6166,10.7002,45.48,61,7,8.93,clear sky
92,Grants,US,2022-01-29 18:36:01,35.1473,-107.8514,34.03,44,0,8.05,clear sky
93,Comodoro Rivadavia,AR,2022-01-29 18:35:18,-45.8667,-67.5,85.86,8,0,20.71,clear sky
94,Idrinskoye,RU,2022-01-29 18:36:02,54.3708,92.1358,-12.37,100,57,2.37,broken clouds
95,Dingle,PH,2022-01-29 18:35:49,10.9995,122.6711,74.98,91,11,1.86,few clouds
96,Smithers,CA,2022-01-29 18:34:05,54.7804,-127.1743,35.92,75,75,2.3,broken clouds
97,San Quintin,MX,2022-01-29 18:36:03,30.4833,-115.95,66.27,34,5,2.77,clear sky
98,Carauari,BR,2022-01-29 18:36:03,-4.8828,-66.8958,78.01,88,100,1.1,overcast clouds
99,Dikson,RU,2022-01-29 18:36:04,73.5069,80.5464,2.88,93,100,21.41,overcast clouds
100,Chapleau,CA,2022-01-29 18:31:04,47.8405,-83.4034,14.09,67,75,8.05,broken clouds
101,Vaini,TO,2022-01-29 18:36:04,-21.2,-175.2,81.34,79,100,17.36,light rain
102,Toktogul,KG,2022-01-29 18:36:04,41.8708,72.9402,25.47,79,72,1.9,broken clouds
103,Vallenar,CL,2022-01-29 18:35:08,-28.5708,-70.7581,83.3,29,0,12.75,clear sky
104,Ponta Do Sol,PT,2022-01-29 18:36:05,32.6667,-17.1,65.03,67,9,4.38,clear sky
105,Strezhevoy,RU,2022-01-29 18:36:05,60.7333,77.5889,-4.02,100,100,3.91,overcast clouds
106,Lagoa,PT,2022-01-29 18:36:06,39.05,-27.9833,57.92,76,84,11.3,broken clouds
107,Esperance,AU,2022-01-29 18:36:06,-33.8667,121.9,64.24,76,0,14.9,clear sky
108,Kampene,CD,2022-01-29 18:36:07,-3.6,26.6667,69.87,83,63,0.92,broken clouds
109,Gat,IL,2022-01-29 18:36:07,31.61,34.7642,50.4,80,0,3.71,clear sky
110,Verkhnevilyuysk,RU,2022-01-29 18:36:08,63.4453,120.3167,-15.59,98,91,5.95,overcast clouds
111,Rodrigues Alves,BR,2022-01-29 18:36:08,-7.738,-72.6509,88.0,83,100,3.98,overcast clouds
112,Filingue,NE,2022-01-29 18:36:08,14.3521,3.3168,75.4,13,33,11.12,scattered clouds
113,Iqaluit,CA,2022-01-29 18:36:09,63.7506,-68.5145,-7.87,59,100,8.05,light snow
114,Atuona,PF,2022-01-29 18:36:09,-9.8,-139.0333,77.23,80,29,14.54,light rain
115,Victoria,HK,2022-01-29 18:35:54,22.2855,114.1577,62.26,81,100,15.01,overcast clouds
116,Hattiesburg,US,2022-01-29 18:36:10,31.3271,-89.2903,48.52,26,0,9.22,clear sky
117,Liku,ID,2022-01-29 18:36:10,-0.7275,119.8922,74.91,94,100,1.57,overcast clouds
118,New Norfolk,AU,2022-01-29 18:36:11,-42.7826,147.0587,60.3,99,22,1.23,few clouds
119,Panzhihua,CN,2022-01-29 18:36:12,26.5851,101.7128,43.84,52,0,1.63,clear sky
120,Longyearbyen,SJ,2022-01-29 18:36:12,78.2186,15.6401,8.44,66,20,14.97,few clouds
121,Villa Carlos Paz,AR,2022-01-29 18:36:12,-31.4241,-64.4978,85.24,10,0,13.0,clear sky
122,Tessalit,ML,2022-01-29 18:36:13,20.1986,1.0114,72.72,11,97,12.12,overcast clouds
123,Pringsewu,ID,2022-01-29 18:35:47,-5.3582,104.9744,73.85,96,100,2.04,overcast clouds
124,East London,ZA,2022-01-29 18:36:13,-33.0153,27.9116,72.54,78,75,9.22,broken clouds
125,Port Hedland,AU,2022-01-29 18:36:14,-20.3167,118.5667,84.25,70,100,10.36,overcast clouds
126,Mar Del Plata,AR,2022-01-29 18:36:14,-38.0023,-57.5575,84.22,85,0,20.0,clear sky
127,Tucuman,AR,2022-01-29 18:36:15,-26.8241,-65.2226,84.2,51,20,4.61,few clouds
128,Pandan,PH,2022-01-29 18:36:15,14.0453,124.1694,77.02,90,22,6.22,few clouds
129,Gwadar,PK,2022-01-29 18:36:15,25.1216,62.3254,71.31,78,0,11.39,clear sky
130,Ugoofaaru,MV,2022-01-29 18:36:16,5.6667,73.0,82.11,73,47,15.77,scattered clouds
131,Talnakh,RU,2022-01-29 18:33:13,69.4865,88.3972,-0.45,97,100,10.04,overcast clouds
132,Hasaki,JP,2022-01-29 18:36:21,35.7333,140.8333,32.4,70,47,15.12,scattered clouds
133,Bilibino,RU,2022-01-29 18:32:20,68.0546,166.4372,-3.75,87,100,2.89,overcast clouds
134,Fort Nelson,CA,2022-01-29 18:36:22,58.8053,-122.7002,9.99,92,100,3.44,snow
135,Bubaque,GW,2022-01-29 18:36:22,11.2833,-15.8333,78.19,72,100,21.52,overcast clouds
136,Nouadhibou,MR,2022-01-29 18:36:23,20.931,-17.0347,67.98,60,100,16.11,overcast clouds
